Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Rudolf Maag,4.5,Switzerland,medical devices,638,75,"Binningen, Switzerland",Switzerland,Married,2,"Master of Business Administration, INSEAD",True
Miao Hangen,4.5,China,"textiles, petrochemicals",638,56,"Suzhou, China",China,,,,True
Sami Mnaymneh,4.5,United States,private equity,638,59,"Miami Beach, Florida",United States,,,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University",True
Igor Olenicoff,4.5,United States,real estate,638,78,"Lighthouse Point, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California",True
Sergei Popov,4.5,Russia,banking,638,49,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Ural State Technical University",True
Thomas Pritzker,4.5,United States,"hotels, investments",638,70,"Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago",False
"Julian Robertson, Jr.",4.5,United States,hedge funds,638,88,"Locust Valley, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of North Carolina",True
Tony Tamer,4.5,United States,private equity,638,63,"New York, New York",United States,Married,4,,True
Zhu Baoguo & family,4.5,China,pharmaceuticals,638,59,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Henan Normal University",True
Shari Arison,4.4,Israel,Carnival Cruises,655,63,"Tel Aviv, Israel",Israel,Divorced,4,"Drop Out, Miami Dade College",False
Orlando Bravo,4.4,United States,private equity,655,50,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University",True
Garrett Camp,4.4,Canada,Uber,655,42,"San Francisco, California",Canada,In Relationship,,"Master of Science, University of Calgary",True
Nick Caporella,4.4,United States,beverages,655,85,"Plantation, Florida",United States,Married,4,,True
Mark Cuban,4.4,United States,"online media, Dallas Mavericks",655,62,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Indiana University",True
Yakir Gabay,4.4,Cyprus,real estate,655,55,"London, United Kingdom",Cyprus,,,,True
Erman Ilicak,4.4,Turkey,construction,655,53,"Ankara, Turkey",Turkey,Married,3,,True
Gustav Magnar Witzoe,4.4,Norway,fish farming,655,28,"Kverva, Norway",Norway,Single,,,False
Michael Minhong Yu,4.4,China,education,655,59,"Beijing, China",China,Married,2,"Bachelor of Arts/Science, Peking University",True
Zhang Daocai,4.4,China,valves,655,71,"Shaoxing, China",China,,,,True
Stéphane Bancel,4.3,France,biotech,665,48,"Boston, Massachusetts",France,,,"Master of Science in Engineering, Ecole Centrale Paris; Master of Business Administration, Harvard University; Master of Science in Engineering, University of Minnesota",True
Ralph Dommermuth,4.3,Germany,internet service provider,665,57,"Montabaur, Germany",Germany,Married,1,,True
Thomas Hagen,4.3,United States,insurance,665,85,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University",False
Pansy Ho,4.3,Hong Kong,casinos,665,58,"Hong Kong, Hong Kong",Hong Kong,Divorced,,"Bachelor of Arts/Science, University of Santa Clara",False
Rakesh Jhunjhunwala,4.3,India,investments,665,60,"Mumbai, India",India,Married,3,"B.Com, Bombay University; Chartered Accountant, The Institute of Chartered Accountants of India",True
Lee Yin Yee,4.3,China,glass,665,69,"Hong Kong, Hong Kong",China,,,,True
Eric Lefkofsky,4.3,United States,Groupon,665,51,"Glencoe, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",True
Edwin Leong,4.3,Hong Kong,real estate,665,69,"Hong Kong, Hong Kong",Hong Kong,Married,1,,True
Pawan Munjal & family,4.3,India,motorcycles,665,67,"Delhi, India",India,Married,3,,False
Antony Ressler,4.3,United States,finance,665,59,"Los Angeles, California",United States,Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University",True
Paul Singer,4.3,United States,hedge funds,665,76,"New York, New York",United States,In Relationship,,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester",True
Kerry Stokes,4.3,Australia,"construction equipment, media",665,80,"Perth, Australia",Australia,Married,4,,True
Steven Udvar-Hazy,4.3,United States,aircraft leasing,665,75,"Beverly Hills, California",United States,Married,4,"Bachelor of Arts/Science, University of California, Los Angeles",True
Takao Yasuda,4.3,Japan,retail,665,72,"Singapore, Singapore",Japan,Married,1,"Bachelor of Arts/Science, Keio University",True
Ye Chenghai & family,4.3,Hong Kong,pharmaceuticals,665,77,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Arts/Science, Renmin University of China",True
Alain Bouchard,4.2,Canada,retail,680,72,"Montreal, Canada",Canada,Married,4,,True
Rick Caruso,4.2,United States,real estate,680,62,"Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California",True
Scott Cook,4.2,United States,software,680,68,"Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California",True
Barry Diller,4.2,United States,online media,680,79,"New York, New York",United States,Married,,"Drop Out, University of California, Los Angeles",True
Traudl Engelhorn & family,4.2,Germany,"pharmaceuticals, medical equipment",680,94,"Lucerne, Switzerland",Germany,Widowed,4,,False
Fang Wei,4.2,China,steel,680,47,"Beijing, China",China,Married,,,True
Fu Liquan & family,4.2,China,surveillance equipment,680,53,"Hangzhou, China",China,Married,1,"Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University",True
Luca Garavoglia,4.2,Italy,spirits,680,52,"Milan, Italy",Italy,,,"Bachelor of Commerce, Bocconi University",False
Tom Golisano,4.2,United States,payroll services,680,79,"Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",True
Peter Hargreaves,4.2,United Kingdom,financial services,680,74,"Bristol, United Kingdom",United Kingdom,Married,2,,True
Bertil Hult,4.2,Sweden,education,680,80,"Lucerne, Switzerland",Sweden,Married,4,,True
Ray Lee Hunt,4.2,United States,"oil, real estate",680,78,"Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University",False
James Irving,4.2,Canada,diversified,680,93,"Saint John, Canada",Canada,Married,4,,False
Martin Lau,4.2,Hong Kong,e-commerce,680,48,"Hong Kong, Hong Kong",Hong Kong,,,"Master of Business Administration, Kellogg School of Management; Master of Science in Engineering, Stanford University; Bachelor of Science in Engineering, University of Michigan",True
Li Li,4.2,China,healthcare,680,57,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",True
Liu Fangyi,4.2,China,medical equipment,680,,"Shanghai, China",China,,,,True
Luo Liguo & family,4.2,China,chemicals,680,65,"Ningbo, China",China,Married,,,True
